arquivo_ll,otimizacao,dec_bytes,arquivo_o
extr_v3d_drv.h_v3d_has_csd.ll,O1,50,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_v3d_drv.h_v3d_has_csd.ll/O1.o
extr_ar5211_misc.c_ar5211GetCurRssi.ll,O1,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ar5211_misc.c_ar5211GetCurRssi.ll/O1.o
extr_connect.c_cifs_set_vol_auth.ll,O2,206,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_connect.c_cifs_set_vol_auth.ll/O2.o
extr_btree.c_nilfs_btree_node_set_nchildren.ll,O1,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_btree.c_nilfs_btree_node_set_nchildren.ll/O1.o
extr_corgi_lcd.c_lcdtg_set_common_voltage.ll,O2,176,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_corgi_lcd.c_lcdtg_set_common_voltage.ll/O2.o
extr_mv88e6063.c_mv88e6063_setup_global.ll,O2,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_mv88e6063.c_mv88e6063_setup_global.ll/O2.o
extr_v3d_drv.h_v3d_has_csd.ll,O2,50,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_v3d_drv.h_v3d_has_csd.ll/O2.o
extr_ar5211_misc.c_ar5211GetCurRssi.ll,O2,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ar5211_misc.c_ar5211GetCurRssi.ll/O2.o
extr_btree.c_nilfs_btree_node_set_nchildren.ll,O2,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_btree.c_nilfs_btree_node_set_nchildren.ll/O2.o
extr_connect.c_cifs_set_vol_auth.ll,O3,206,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_connect.c_cifs_set_vol_auth.ll/O3.o
extr_mv88e6063.c_mv88e6063_setup_global.ll,O3,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_mv88e6063.c_mv88e6063_setup_global.ll/O3.o
extr_corgi_lcd.c_lcdtg_set_common_voltage.ll,O3,176,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_corgi_lcd.c_lcdtg_set_common_voltage.ll/O3.o
