arquivo,dec_bytes
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_alloc-util.h_size_multiply_overflow.ll/melhor.ll,98
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_als300.c_snd_als300_free.ll/melhor.ll,158
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_altera_jtag_uart_tty.c_aju_control_write.ll/melhor.ll,122
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_altera_sgdma.c_sgdma_tx_completions.ll/melhor.ll,226
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_amd8111e.c_amd8111e_stop_chip.ll/melhor.ll,228
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_amdgpu_amdkfd_gfx_v10.c_kgd_address_watch_disable.ll/melhor.ll,24
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_amdgpu_ttm.h_amdgpu_ttm_tt_get_user_pages_done.ll/melhor.ll,24
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_amdsbwd.c_wdctrl_read.ll/melhor.ll,38
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ampdu.c_brcms_c_ampdu_flush.ll/melhor.ll,78
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ani.c_ath9k_hw_update_mibstats.ll/melhor.ll,326
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_anim_encode.c_DisableKeyframes.ll/melhor.ll,104
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aof.c_freeFakeClient.ll/melhor.ll,108
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aops.c_gfs2_writepages.ll/melhor.ll,58
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_apei-base.c_apei_exec_write_register.ll/melhor.ll,52
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_apei-internal.h_apei_exec_run.ll/melhor.ll,36
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_apm_32.c_queue_empty.ll/melhor.ll,110
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_app_bt.c_make_cmd_ble_set_adv_param.ll/melhor.ll,650
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_appletouch.c_atp_report_fingers.ll/melhor.ll,224
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aquantia_main.c_aqr107_suspend.ll/melhor.ll,106
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ar5210_misc.c_ar5210GetAckTimeout.ll/melhor.ll,86
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ar5211_misc.c_ar5211GetCurRssi.ll/melhor.ll,48
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ar9300_reset.c_ar9300_init_bb.ll/melhor.ll,342
