arquivo,dec_bytes
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00054.ll/melhor.ll,3816
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00056.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00057.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00058.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00059.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00060.ll/melhor.ll,3820
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00061.ll/melhor.ll,3816
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00062.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00064.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00065.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00066.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00067.ll/melhor.ll,3816
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00069.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00070.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00071.ll/melhor.ll,3766
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00072.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00073.ll/melhor.ll,3840
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00075.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00076.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00078.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00079.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00080.ll/melhor.ll,3816
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00081.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00082.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00083.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00084.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00085.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00087.ll/melhor.ll,3816
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00088.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00089.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00090.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00091.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00092.ll/melhor.ll,3812
/home/calebe/Downloads/geração_de_prompt_label/Resultados-Seq-Unica-1k-avr/Resultado00093.ll/melhor.ll,3812
